第1题：你是否使用过AI工具？（如ChatGPT、DeepSeek、Kimi、豆包等）[单选题],,
选项,小计,比例
经常使用,26,86.67%
偶尔使用,4,13.33%
听说过但没用过,0,0%
完全没用过,0,0%
本题有效填写人次,30,
,,
第2题：你主要用AI工具做什么？（可多选）[多选题],,
选项,小计,比例
学习/查资料,28,93.33%
写作业/论文,21,70%
编程/代码,12,40%
工作/办公,10,33.33%
娱乐/闲聊,12,40%
其他：______,0,0%
本题有效填写人次,30,
,,
第3题：你觉得写Prompt（向AI提问的方式）困难吗？[单选题],,
选项,小计,比例
非常困难,2,6.67%
有一定困难,10,33.33%
一般,12,40%
比较轻松,4,13.33%
很轻松,2,6.67%
本题有效填写人次,30,
,,
第4题：你遇到过以下哪些问题？（可多选）[多选题],,
选项,小计,比例
任务描述太模糊，不知道怎么写清楚,17,56.67%
没有指定输出格式（比如要表格、代码、Markdown）,16,53.33%
没有设定角色（比如“你是一位老师”）,11,36.67%
AI的回答太泛泛、不专业,15,50%
缺少约束条件（比如字数、风格、时间范围）,11,36.67%
其他,1,3.33%
本题有效填写人次,30,
,,
第5题：如果有一个工具能帮你诊断和优化Prompt，你希望它有哪些功能？（可多选）[多选题],,
选项,小计,比例
自动诊断Prompt存在的问题,19,63.33%
给Prompt打分,9,30%
自动生成优化版本,22,73.33%
提供模板库,16,53.33%
保存历史版本,11,36.67%
其他,0,0%
本题有效填写人次,30,
,,
第6题：你愿意尝试使用PromptLab这样的工具吗？[单选题],,
选项,小计,比例
非常愿意,15,50%
比较愿意,11,36.67%
一般,4,13.33%
不太愿意,0,0%
完全不愿意,0,0%
本题有效填写人次,30,
